time(d),H296,H082,H080,H341,Cs2145,Cs2976,Cs2980,Cs3090,Cs3091,Cs3102
0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
0.042 ,4.912 ,0.041 ,-0.190 ,11.738 ,0.035 ,1.549 ,-0.304 ,0.686 ,-0.393 ,0.005 
0.083 ,9.819 ,0.111 ,-0.383 ,23.481 ,0.181 ,3.635 ,-0.257 ,2.324 ,0.057 ,-0.698 
0.125 ,14.634 ,0.160 ,-0.529 ,35.327 ,0.358 ,5.452 ,-0.401 ,2.075 ,0.366 ,-0.944 
0.167 ,19.637 ,0.220 ,-0.591 ,47.184 ,0.870 ,6.570 ,-0.453 ,2.430 ,0.315 ,-0.936 
0.208 ,24.457 ,0.279 ,-0.855 ,58.998 ,0.816 ,8.442 ,-1.345 ,2.305 ,0.375 ,-1.693 
0.250 ,29.340 ,0.342 ,-1.061 ,70.719 ,0.719 ,8.914 ,-1.820 ,2.832 ,1.034 ,-2.057 
0.292 ,34.136 ,0.393 ,-1.253 ,82.571 ,1.063 ,9.624 ,-2.590 ,2.908 ,0.505 ,-2.190 
0.333 ,39.100 ,0.445 ,-1.375 ,94.355 ,0.108 ,10.072 ,-2.981 ,3.906 ,0.814 ,-3.177 
0.375 ,43.937 ,0.521 ,-1.579 ,106.147 ,-0.150 ,11.833 ,-3.331 ,4.622 ,0.849 ,-3.603 
0.417 ,48.847 ,0.583 ,-1.777 ,118.045 ,-0.668 ,12.945 ,-2.951 ,5.232 ,0.904 ,-3.858 
0.458 ,53.686 ,0.640 ,-1.907 ,129.867 ,-0.456 ,13.688 ,-3.345 ,5.455 ,0.423 ,-4.805 
0.500 ,58.558 ,0.711 ,-2.100 ,141.618 ,-1.392 ,15.256 ,-3.060 ,6.049 ,-0.095 ,-5.437 
0.542 ,63.473 ,0.762 ,-2.271 ,153.467 ,-0.977 ,15.709 ,-2.414 ,6.678 ,-0.518 ,-5.892 
0.583 ,68.356 ,0.814 ,-2.406 ,165.313 ,-1.302 ,16.789 ,-3.279 ,7.343 ,-0.488 ,-6.145 
0.625 ,73.307 ,0.895 ,-2.566 ,177.138 ,-2.010 ,18.210 ,-2.444 ,8.170 ,-0.849 ,-5.860 
0.667 ,78.084 ,0.974 ,-2.710 ,188.957 ,-1.457 ,21.547 ,-3.092 ,8.621 ,-0.968 ,-6.223 
0.708 ,83.024 ,1.069 ,-2.835 ,200.776 ,-1.500 ,23.161 ,-3.670 ,9.152 ,-1.250 ,-6.261 
0.750 ,87.893 ,1.150 ,-3.027 ,212.560 ,-1.864 ,25.005 ,-4.685 ,9.798 ,-1.649 ,-6.386 
